variante,nombre_canonico
jenkins,Jenkins
jest,Jest
jira,Jira
junit,JUnit
apache kafka,Kafka
kafka,Kafka
kotlin,Kotlin
k8s,Kubernetes
kubernetes,Kubernetes
langchain,LangChain
laravel,Laravel
embedded linux,Linux
linux,Linux
linux embebido,Linux
unix,Linux
agentes de ia,LLM
agentic ai,LLM
ai agents,LLM
genai,LLM
generative ai,LLM
ia agentica,LLM
ia agéntica,LLM
ia generativa,LLM
large language models,LLM
llm,LLM
llms,LLM
rag,LLM
looker,Looker
looker studio,Looker
aprendizaje automático,Machine Learning
machine learning,Machine Learning
ml,Machine Learning
mariadb,MariaDB
arquitectura de microservicios,Microservicios
microservices,Microservicios
microservicios,Microservicios
d365,Microsoft Dynamics 365
dynamics 365,Microsoft Dynamics 365
microsoft dynamics,Microsoft Dynamics 365
microsoft dynamics 365,Microsoft Dynamics 365
microsoft dynamics 365 f&o,Microsoft Dynamics 365
mlops,MLOps
mongo,MongoDB
mongodb,MongoDB
mysql,MySQL
nest,NestJS
nest.js,NestJS
nestjs,NestJS
next,Next.js
next.js,Next.js
nextjs,Next.js
node,Node.js
node js,Node.js
node.js,Node.js
nodejs,Node.js
numpy,NumPy
oracle,Oracle
oracle database,Oracle
oracle db,Oracle
pandas,pandas
php,PHP
php 8,PHP
php8,PHP
postgre,PostgreSQL
postgres,PostgreSQL
postgresql,PostgreSQL
postgresql 15,PostgreSQL
power bi,Power BI
power-bi,Power BI
powerbi,Power BI
microsoft power platform,Power Platform
power apps,Power Platform
power automate,Power Platform
power platform,Power Platform
powershell,PowerShell
prometheus,Prometheus
pytest,pytest
python,Python
python 3,Python
python3,Python
pytorch,PyTorch
torch,PyTorch
lenguaje r,R
r,R
r language,R
rabbitmq,RabbitMQ
react,React
react js,React
react.js,React
reactjs,React
react native,React Native
react-native,React Native
2g,Redes móviles (2G-5G)
3g,Redes móviles (2G-5G)
4g,Redes móviles (2G-5G)
5g,Redes móviles (2G-5G)
lte,Redes móviles (2G-5G)
redes móviles (2g-5g),Redes móviles (2G-5G)
redis,Redis
amazon redshift,Redshift
aws redshift,Redshift
redshift,Redshift
redux,Redux
api rest,REST
apis rest,REST
rest,REST
rest api,REST
restful,REST
rtos,RTOS
ruby,Ruby
rails,Ruby on Rails
ror,Ruby on Rails
ruby on rails,Ruby on Rails
rust,Rust
salesforce,Salesforce
s/4hana,SAP
sap,SAP
sap btp,SAP
sap hana,SAP
sap mm,SAP
sap s/4hana,SAP
sap s4hana,SAP
sap sd,SAP
scala,Scala
scikit learn,scikit-learn
scikit-learn,scikit-learn
sklearn,scikit-learn
scrum,Scrum
selenium,Selenium
snowflake,Snowflake
apache spark,Spark
pyspark,Spark
spark,Spark
spark sql,Spark
spring,Spring
spring boot,Spring
spring framework,Spring
springboot,Spring
ansi sql,SQL
pl/sql,SQL
plsql,SQL
sql,SQL
t-sql,SQL
tsql,SQL
microsoft sql server,SQL Server
ms sql server,SQL Server
mssql,SQL Server
sql server,SQL Server
sqlite,SQLite
svelte,Svelte
sveltekit,Svelte
swift,Swift
symfony,Symfony
tableau,Tableau
tailwind,Tailwind CSS
tailwind css,Tailwind CSS
tailwindcss,Tailwind CSS
tensorflow,TensorFlow
terraform,Terraform
togaf,TOGAF
ts,TypeScript
typescript,TypeScript
vue,Vue.js
vue 3,Vue.js
vue.js,Vue.js
vuejs,Vue.js
yocto,Yocto
yocto project,Yocto
zephyr,Zephyr
zephyr rtos,Zephyr
